token;bin;monto;fecha
c172690d4f3468f3ff2b4e0f57c910e9;447410;54004;2021-02-11T16:01:58Z
6d1bf817c8df3667b0d4fb50e85494dc;455103;42429;2021-02-11T16:07:33Z
3d77a08e1ebeed6c152242a2cb616d6f;410351;295562;2021-02-11T16:07:52Z
abe0874cc493115c736d040f88cc57cd;404293;54004;2021-02-11T16:09:36Z
f78dc844a4c8a86f1e6ce375e13eecca;410351;295562;2021-02-11T16:09:45Z
4456aec9905b5a9b14744d67d8e0e3ce;410351;225682;2021-02-11T16:13:19Z
e96faaa362160d37b30cc3c06e684b53;404293;54004;2021-02-11T16:19:59Z
2c68139e18d69fa4e79fc00a36ddf78a;455170;32837;2021-02-11T16:21:09Z
8933495921cf8651a3deacb715c3970a;455103;58873;2021-02-11T16:22:46Z
99594d0d5f1bc469d458e58d35823e10;377753;50863;2021-02-11T16:22:54Z
2cac0e6a7cc3038c3e3da05592cc2649;533958;88532;2021-02-11T16:29:38Z
8f0f97fd5d54a5266baefe05a31601d9;421918;32837;2021-02-11T16:33:12Z
58efbde1c94f986e695cf00827d5b16d;404071;69887;2021-02-11T16:33:19Z
e3d6cc3234536c545e69eb18115b6ebf;404071;69887;2021-02-11T16:39:38Z
bf3006020313e7c39789d2171f4e98ab;377752;58;2021-02-11T16:48:35Z
a4c220353cd7ea9c584379bf4956226e;377752;58;2021-02-11T16:52:03Z
91ab56ac0b05fccf4b89218a228868a3;404071;69887;2021-02-11T16:59:28Z
8c2c805435e943ad690a82fb78cf5a7d;455788;89910;2021-02-11T16:59:31Z
a34749339048166867bb85d0fcc4a015;455788;89910;2021-02-11T17:05:23Z
ee935469799a9e68ed930c5edcede795;377752;58;2021-02-11T17:07:24Z
58f8c46640e1a2ba4057a3b8873b4ca9;377752;58;2021-02-11T17:10:35Z
0e8802abf27d003af99838bc5a8bc9f6;377752;58;2021-02-11T17:15:09Z
f85e61e813ed0bfce1257235b4f156ae;377752;58;2021-02-11T17:18:42Z
12819cffeae28741e228901f671e1edb;377752;58;2021-02-11T17:21:22Z
f20ee846378d516c58df16d9f0d8ecb0;463401;79625;2021-02-11T17:25:23Z
3b3dc4a2b4d939198ac835a8a593bd60;377752;58;2021-02-11T17:26:29Z
bb174c39f55d57027f17475dd5a51374;377753;58;2021-02-11T17:39:35Z
ae4280f25fd5f28a00d850cf9b17d55f;511842;65878;2021-02-11T17:40:47Z
43a0dda33973576a75a494916a54588e;455170;29433;2021-02-11T18:03:01Z
e831418c2a8a3d6a69186f181a03b514;377752;58;2021-02-11T18:04:14Z
d37523188293df480b7ebd1c148acba7;455788;18485;2021-02-11T18:13:33Z
e83e5c9eedd1e6e8c6e1db0d75c169d1;447410;12595;2021-02-11T18:38:57Z
e655d7ae49b0ca39830d488795f3fa16;400917;313055;2021-02-11T18:42:42Z
b10b903336389930d5c6b92d6e1f6389;447410;12595;2021-02-11T18:42:46Z
aa8b3695b4584dd5cd4bf65547a69deb;447410;12595;2021-02-11T18:45:41Z
369a226ba5264d149663022a90786d1f;400917;173085;2021-02-11T18:56:34Z
06725aa11820719eb5e43e8be6236e31;400917;173085;2021-02-11T19:00:15Z
3520be91590cb05544ead1b996d20ede;404071;70528;2021-02-11T19:04:15Z
9b40c9529a5917bdfe3f19555bb94f03;511842;65878;2021-02-11T19:08:50Z
f32361496a9e7f8ea1db206d57a90162;455788;12158;2021-02-11T19:10:13Z
ecc7a6c100e56de6014548141e4da754;455788;12158;2021-02-11T19:15:10Z
ee1db97a3997cdd575a42d2930402069;455788;31926;2021-02-11T19:26:35Z
08b114c9c83e0efcac6a0fcb562b6ad4;455788;31926;2021-02-11T19:29:04Z
8a69b9601f4e96f380382822d6c3a325;421355;9075;2021-02-11T19:30:56Z
4f52e1c157cc9f688a94a859bb4c9ec1;455788;92111;2021-02-11T19:40:21Z
df06c0160d10b41cf9c053c5e0a09bbc;447410;12595;2021-02-11T19:51:57Z
ff5f5e2ce61b0f814334c84f3982b770;428581;119948;2021-02-11T20:08:34Z
751518950d7bb9a5e3064a4b2fd7bd90;410351;49193;2021-02-11T20:11:57Z
eb08ce5517dd014cfd89790f5c982d51;455788;26095;2021-02-11T20:33:39Z
